,track_name,track_id,by,feature,album_id,album_name,album_image,release_date,album_popularity,duration,playlist
0,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),2v5JTeM6hSmi5wWy7jiwrI,Lil Peep,"['ILOVEMAKONNEN', 'Fall Out Boy']",4BQUTZlR3OMrBorJo1ahoY,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),https://i.scdn.co/image/ab67616d0000b2739067de29733d1ecf1b87e583,2019-01-31,75,233,2019
1,Hopeless Romantic (feat. Swae Lee),4uX8Wh4wxpLne11BhoHs5x,Wiz Khalifa,['Swae Lee'],70tKSAfnvmCL09IsfeeDxj,Hopeless Romantic (feat. Swae Lee),https://i.scdn.co/image/ab67616d0000b273d7bd17179a6c41ddbddbd4bd,2018-06-21,53,225,2019
2,Moonlight,0JP9xo3adEtGSdUEISiszL,XXXTENTACION,,2Ti79nwTsont5ZHfdxIzAm,?,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c,2018-03-16,86,135,2019
3,Lover Boy,2rd4FH1cSaWGc0ZiUaMbX9,Phum Viphurit,,6q6pANmFQbMk7KzlzNeBep,Lover Boy,https://i.scdn.co/image/ab67616d0000b273ebefdcb9f6e825e8582bbac4,2018-03-22,67,236,2019
4,SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,,2Ti79nwTsont5ZHfdxIzAm,?,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c,2018-03-16,87,166,2019
5,Lean Wit Me,3oDkdAySo1VQQG0ptV7uwa,Juice WRLD,,6tkjU4Umpo79wwkgPMV3nZ,Goodbye & Good Riddance,https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4,2018-12-10,82,175,2019
6,Señorita,0TK2YIli7K1leLovkQiNik,Shawn Mendes,['Camila Cabello'],2ZaX1FdZCwchXl1QZiD4O4,Señorita,https://i.scdn.co/image/ab67616d0000b273e6095c382c2853667c1623eb,2019-06-21,87,190,2019
7,Cross Me (feat. Chance the Rapper & PnB Rock),543bCW2ruMPmxUBWirQ3MR,Ed Sheeran,"['Chance the Rapper', 'PnB Rock']",5MKInakULmoBNApeB2ZB3A,Cross Me (feat. Chance the Rapper & PnB Rock),https://i.scdn.co/image/ab67616d0000b273f1d4fe9b36aa7be708ea44ea,2019-05-24,73,206,2019
8,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,Post Malone,['Swae Lee'],35s58BRTGAEWztPo9WqCIs,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),https://i.scdn.co/image/ab67616d0000b273e2e352d89826aef6dbd5ff8f,2018-12-14,87,158,2019
9,whoa (mind in awe),7pdF27mSDuPWhppnHAmWHa,XXXTENTACION,,1qsQOC4Jn0fnaUZLAbs4dz,SKINS,https://i.scdn.co/image/ab67616d0000b273da9e59639a9759d8952890c6,2018-12-07,74,157,2019
10,Hide (feat. Seezyn),6rz0dTA0PdhXImFV5EjM0w,Juice WRLD,['Seezyn'],35s58BRTGAEWztPo9WqCIs,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),https://i.scdn.co/image/ab67616d0000b273e2e352d89826aef6dbd5ff8f,2018-12-14,77,205,2019
11,Slide (feat. Frank Ocean & Migos),7tr2za8SQg2CI8EDgrdtNl,Calvin Harris,"['Frank Ocean', 'Migos', 'Funk Wav']",2HaqChIDc5go3qxVunBDK0,Funk Wav Bounces Vol.1,https://i.scdn.co/image/ab67616d0000b2734d3fa5ce7ba599f4fd7803ef,2017-06-30,70,230,2019
12,Noticed,6JQvHMSaR8flFsN53ypOfP,Lil Mosey,,6TNJNEulnWQNnq0o3N23Za,Northsbest,https://i.scdn.co/image/ab67616d0000b2738314a1eef415b654f433f3aa,2018-10-19,4,165,2019
13,Space Cadet (feat. Gunna),1fewSx2d5KIZ04wsooEBOz,Metro Boomin,['Gunna'],3IO8IPjwXuzPJnoaqkwYrj,NOT ALL HEROES WEAR CAPES (Deluxe),https://i.scdn.co/image/ab67616d0000b2732887f8c05b5a9f1cb105be29,2018-11-06,78,203,2019
14,Used To,0WZFN4E8HrmGUU0EMyKQ8c,Juice WRLD,,6tkjU4Umpo79wwkgPMV3nZ,Goodbye & Good Riddance,https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4,2018-12-10,74,176,2019
15,Waiting For Love,2P4OICZRVAQcYAV2JReRfj,Avicii,,7dqftJ3kas6D0VAdmt3k3V,Stories,https://i.scdn.co/image/ab67616d0000b2735393c5d3cac806092a9bc468,2015-10-02,80,230,2019
16,Red Rubies,3oFB1Je60Up6LMDDWCi5mJ,88rising,"['Rich Brian', 'Yung Bans', 'Yung Pinch', 'Higher Brothers', 'Don Krez']",6YFBWwUDdot8IjBZSYOacB,Head In The Clouds,https://i.scdn.co/image/ab67616d0000b2734aedbebc17bc6ebccad220e9,2018-07-20,45,243,2019
17,My Bad,2XKFnwB6djxrJCjR3PdeRb,Khalid,,6KT8x5oqZJl9CcnM66hddo,Free Spirit,https://i.scdn.co/image/ab67616d0000b273b361ce46dbadbf8a11081b60,2019-04-05,64,163,2019
18,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,Juice WRLD,,6tkjU4Umpo79wwkgPMV3nZ,Goodbye & Good Riddance,https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4,2018-12-10,90,239,2019
19,High Right Now,18LhA0zBzAa2YnhcN3hWGa,Tyla Yaweh,,37m9KwQ4yNWbsThepwDvAK,Heart Full of Rage,https://i.scdn.co/image/ab67616d0000b2736a59c3251231317dfdb9cd9c,2019-02-22,72,163,2019
20,Revenge,5TXDeTFVRVY7Cvt0Dw4vWW,XXXTENTACION,,5VdyJkLe3yvOs0l4xXbWp0,17,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5,2017-08-25,77,120,2019
21,Close To Me (with Diplo) (feat. Swae Lee),5JEx7HbmvHQQswJCsoo9rA,Ellie Goulding,"['Diplo', 'Swae Lee']",4bLCVUEB9YWKEeaJm8FfqQ,Close To Me (feat. Swae Lee),https://i.scdn.co/image/ab67616d0000b273dd640dbca55836e23894212a,2018-10-24,77,182,2019
22,Summertime In Paris,6XNANAB7sFvkfho6bMCp7o,Jaden,['WILLOW'],6cKBoHXh7dKn2gVsGniZ58,ERYS (Deluxe),https://i.scdn.co/image/ab67616d0000b27360ec4df52c2d724bc53ffec5,2019-07-05,77,270,2019
23,Talk To Myself,5IZg7Ngm3CTOj9l00YSrt9,Avicii,,7dqftJ3kas6D0VAdmt3k3V,Stories,https://i.scdn.co/image/ab67616d0000b2735393c5d3cac806092a9bc468,2015-10-02,53,235,2019
24,Lover Boy 88,2vRDFgdJiILUdDOLL8hLH3,88rising,"['Phum Viphurit', 'Higher Brothers']",6YFBWwUDdot8IjBZSYOacB,Head In The Clouds,https://i.scdn.co/image/ab67616d0000b2734aedbebc17bc6ebccad220e9,2018-07-20,55,233,2019
25,Middle,0g5EKLgdKvNlln7TNqBByK,DJ Snake,['Bipolar Sunshine'],02sEJTj1sye1JaqxqpcSCp,Encore,https://i.scdn.co/image/ab67616d0000b273212d776c31027c511f0ee3bc,2016-08-05,76,220,2019
26,BAD!,22An65gG31JLf9n18qjdhZ,XXXTENTACION,,1qsQOC4Jn0fnaUZLAbs4dz,SKINS,https://i.scdn.co/image/ab67616d0000b273da9e59639a9759d8952890c6,2018-12-07,70,94,2019
27,Touch Me,07Wqp9LcTwzdIyuI0twXjx,Avicii,,7dqftJ3kas6D0VAdmt3k3V,Stories,https://i.scdn.co/image/ab67616d0000b2735393c5d3cac806092a9bc468,2015-10-02,51,186,2019
28,Peach Jam,6dktyiCWz2JYGmcPQ5D5dY,88rising,"['Joji', 'BlocBoy JB']",6YFBWwUDdot8IjBZSYOacB,Head In The Clouds,https://i.scdn.co/image/ab67616d0000b2734aedbebc17bc6ebccad220e9,2018-07-20,62,161,2019
29,I THINK,4f8Mh5wuWHOsfXtzjrJB3t,"Tyler, The Creator",,5zi7WsKlIiUXv09tbGLKsE,IGOR,https://i.scdn.co/image/ab67616d0000b2737005885df706891a3c182a57,2019-05-17,73,212,2019
30,Keanu Reeves,25F6MWrnFBCXVnpN4n76EK,Logic,,0Tirid9OpXh04sbjrNq57w,Keanu Reeves,https://i.scdn.co/image/ab67616d0000b273c27ad6f3930a857177ba33dc,2019-01-18,2,225,2019
31,Caught Up (feat. Khalid),1opARDDYaOeE1QUdwXmBGu,Majid Jordan,['Khalid'],3LHVZayhkrZPdryYqJ5JZu,Caught Up (feat. Khalid),https://i.scdn.co/image/ab67616d0000b2738abe0e9dae9f218368dfb3b5,2019-07-24,70,247,2019
32,Breathe,72hSRAHg4hXE5ApwSQQZPn,88rising,"['Joji', 'Don Krez']",3aal8nCW0AuARvReklAelL,Breathe,https://i.scdn.co/image/ab67616d0000b27321cea5ed05c99d9f132c6cac,2019-09-12,2,125,2019
33,Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,,5VdyJkLe3yvOs0l4xXbWp0,17,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5,2017-08-25,88,119,2019
